"#","Name","RefDes","RIGID_PN","Quantity","SKU"
"1","E298_0u1","C1, C3, C4","CPART000u1","3","4916116"
"2","E298_10U0","C2","CPART10u0","1","4916081"
"3","E298_GREEN 5mm C. 3/4","D1, D2","QPARTG5C34","2","4916358"
"4","E298_BLUE 3mm C. 1","D3, D4","QPARTB3C1","2","4916367"
"5","E298_CONN_1x10","J1, J2","HPART1x10LPIF","2",""
"6","E298_CONN_1x4","J3, J4","HPART1x4","2",""
"7","E298_CONN_1x3","J5, J6, J7, J8","HPART1x3","4","4916232"
"8","E298_DC_Power_Connector","J10","HPART007","1","4916205"
"9","E298_100R0","R1, R2, R3, R4, R5","RPART100R","5","4916849"
"10","TEST_POINT","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9","","9",""
"11","E298_AMB_LDRSENSOR","U1","UPART5528","1","4916063"
"12","E298_ANLG_Temp_SENSOR","U2, U3","UPART36","2","4916009"
"13","E298_74HC4051","U14","LPART4051","1","4916563"
"","","","","35",""
